Rk,Type,Team,Tm,FGA,3PA,2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Age,Pace,FTr,Dist.,%FG: 2P,%FG: 0-3,%FG: 3-10,%FG: 10-16,%FG: 16-3P,%FG: 3P,%FG: Ast'd: 2P,%FG AST'd: 3P,%FGA Dunk,%3PA Corner,Bench MIN,Bench FGA
3,Regular,23RSAtlanta Hawks*,Atlanta Hawks*,92.4,30.5,61.8,22.6,11.2,33.2,44.4,25,7.1,4.9,12.9,18.8,24.9,100.7,0.244,13.2,0.669,0.25,0.186,0.133,0.091,0.331,0.488,0.755,0.064,0.262,16.7,27.4
4,Regular,23RSBoston Celtics*,Boston Celtics*,88.8,42.6,46.2,21.6,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,27.4,98.5,0.243,15.3,0.52,0.21,0.192,0.063,0.048,0.48,0.509,0.814,0.051,0.223,16.5,24.8
20,Regular,23RSBrooklyn Nets*,Brooklyn Nets*,85.1,33.8,51.3,22.1,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,28,98.3,0.26,14.6,0.603,0.222,0.177,0.122,0.082,0.397,0.525,0.82,0.059,0.243,16.5,27.5
25,Regular,23RSCleveland Cavaliers*,Cleveland Cavaliers*,85.2,31.6,53.6,22.5,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19,25.4,95.7,0.264,13.2,0.629,0.278,0.196,0.092,0.054,0.371,0.545,0.715,0.084,0.238,16.1,23.1
12,Regular,23RSDenver Nuggets*,Denver Nuggets*,86.4,31.2,55.2,22.4,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6,26.6,98.1,0.259,13.2,0.639,0.258,0.213,0.083,0.077,0.361,0.597,0.808,0.08,0.251,17.2,27
2,Regular,23RSGolden State Warriors*,Golden State Warriors*,90.2,43.2,47,20.2,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,27.3,101.6,0.224,16,0.521,0.177,0.21,0.069,0.065,0.479,0.606,0.828,0.056,0.199,17.5,28.4
18,Regular,23RSLos Angeles Clippers*,Los Angeles Clippers*,86.1,33.4,52.7,23.9,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,29.7,98,0.278,14.5,0.613,0.221,0.19,0.11,0.092,0.387,0.467,0.838,0.063,0.249,18.9,31.6
6,Regular,23RSLos Angeles Lakers*,Los Angeles Lakers*,89,31.2,57.8,26.6,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,27.9,101.3,0.299,13.2,0.649,0.261,0.214,0.095,0.079,0.351,0.502,0.849,0.065,0.238,18.4,31.3
8,Regular,23RSMemphis Grizzlies*,Memphis Grizzlies*,92.1,34.2,57.9,23.8,12,34.6,46.6,26,8.3,5.8,13.6,20,24.4,101.1,0.259,13,0.628,0.273,0.224,0.099,0.033,0.372,0.504,0.837,0.058,0.245,18.4,28.3
30,Regular,23RSMiami Heat*,Miami Heat*,85.3,34.8,50.5,23,9.7,30.9,40.6,23.8,8,3,13.5,18.5,27.7,96.3,0.27,14.5,0.592,0.196,0.217,0.12,0.052,0.408,0.511,0.802,0.046,0.26,16.4,24.7
